txn_id,customer_id,txn_type,amount,txn_time,status
T00001,C0363,Deposit,44442.71,2025-02-14 06:26:00,Success
T00002,C0432,Deposit,15737.59,2025-03-27 07:21:21,Success
T00003,C0084,Withdrawal,82150.7,2024-07-31 18:28:06,Success
T00004,C0067,Withdrawal,20313.86,2024-11-11 12:18:47,Success
T00005,C0485,Withdrawal,74536.08,2025-04-15 10:52:59,Success
T00006,C0093,Transfer,85463.28,2024-12-05 02:21:45,Success
T00007,C0443,Withdrawal,70966.85,2024-09-13 14:19:19,Success
T00008,C0080,Withdrawal,80748.98,2025-02-19 14:58:58,Success
T00009,C0166,Withdrawal,97149.66,2024-05-26 23:55:25,Success
T00010,C0139,Online Fraud,5835.24,2025-03-17 03:09:38,Failed
T00011,C0385,Transfer,8236.17,2025-03-17 17:45:49,Success
T00012,C0260,Deposit,85186.02,2024-11-14 08:48:09,Success
T00013,C0178,Deposit,9077.95,2024-06-24 00:45:42,Success
T00014,C0413,Online Fraud,96817.53,2024-11-19 17:08:50,Failed
T00015,C0024,Purchase,57134.09,2024-11-13 17:12:22,Success
T00016,C0025,Deposit,39600.97,2024-07-23 14:33:22,Success
T00017,C0049,Deposit,97618.26,2024-11-29 21:33:43,Success
T00018,C0316,Online Fraud,210.42,2024-10-09 12:24:21,Failed
T00019,C0432,Deposit,63086.22,2025-03-30 23:41:01,Success
T00020,C0493,Deposit,66658.1,2025-01-17 00:32:06,Failed
T00021,C0387,Withdrawal,60369.76,2024-12-04 16:38:17,Success
T00022,C0449,Deposit,67009.77,2024-06-23 21:08:48,Success
T00023,C0346,Deposit,16848.32,2025-04-23 15:38:20,Success
T00024,C0317,Deposit,78793.3,2024-05-31 03:28:53,Success
T00025,C0460,Deposit,54122.88,2025-04-19 09:47:19,Success
T00026,C0426,Deposit,96123.45,2024-09-13 00:55:12,Success
T00027,C0492,Deposit,42541.1,2025-05-07 07:43:48,Success
T00028,C0465,Withdrawal,52412.8,2024-10-29 06:55:29,Success
T00029,C0168,Transfer,76154.38,2025-03-14 22:53:49,Success
T00030,C0119,Purchase,6757.04,2024-08-09 21:51:17,Success
T00031,C0366,Deposit,80928.52,2025-01-30 06:52:09,Success
T00032,C0029,Deposit,27403.91,2024-07-25 23:26:09,Failed
T00033,C0240,Withdrawal,94570.35,2024-09-23 05:50:41,Success
T00034,C0465,Withdrawal,67216.49,2024-12-18 18:21:52,Failed
T00035,C0366,Transfer,94682.98,2025-01-17 06:17:39,Success
T00036,C0482,Deposit,36852.99,2024-10-12 19:21:46,Success
T00037,C0466,Deposit,92974.53,2025-01-19 22:06:52,Success
T00038,C0454,Deposit,50523.05,2024-05-31 21:22:56,Success
T00039,C0213,Deposit,32748.53,2024-06-03 20:09:48,Success
T00040,C0380,Deposit,21137.09,2025-02-09 08:36:16,Success
T00041,C0085,Withdrawal,90320.14,2024-07-21 14:35:35,Success
T00042,C0056,Deposit,20588.4,2024-12-01 21:58:18,Success
T00043,C0122,Deposit,71821.69,2025-01-11 23:45:00,Success
T00044,C0190,Purchase,27366.04,2025-03-22 05:54:30,Failed
T00045,C0379,Withdrawal,48906.68,2024-12-14 18:39:49,Success
T00046,C0154,Withdrawal,99528.21,2024-05-26 01:53:40,Failed
T00047,C0156,Purchase,59566.84,2025-05-05 22:16:39,Success
T00048,C0011,Purchase,26127.3,2025-05-10 10:17:16,Success
T00049,C0285,Withdrawal,99278.16,2024-12-14 20:02:52,Success
T00050,C0274,Deposit,37744.44,2024-08-27 11:25:50,Success
